Timestamp,In what region do you live?,How long have you been working with Ember?,Grade your knowledge of Javascript,Grade your knowledge of Ember.js,What is your development role?,I use Ember for work:,Choose the option(s) that best describe your employment situation:,What are your preferred server-side languages:,What is your preferred text editor:,Choose the option(s) that best describe your participation in the Ember community:,Which operating system(s) do you use for development?,What other framework(s) do you have experience with?,How many developers are employed at your company?,How many developers at your company work with Ember?,"In one year, how many Ember developers do you plan to employ?",Which version(s) of Ember are in use in your apps?,Which data-access libraries do you use?,"If you use Ember-Data, which version(s) are in use:",What kind of templates do you use in your Ember apps?,What build tools do you use to build your Ember apps?,What do you use to package your app modules?,What do you use for dependency management?,What is the primary language of your server side stack?,Select any of these server-side frameworks you use:,What standards do you follow for HTTP API design?,What tool(s) do you use for HTTP API design/documentation?,What testing framework(s) do you use in your Ember apps?,How old are your Ember applications?,How often do you deploy updated versions of your Ember apps?,What is the primary target platform for your Ember apps?,Who uses your application(s)?,What browser versions do your applications target?,"In one year, what browser versions do you expect to target?",Which of these best describes your use of Ember in production applications?,What is your preferred hosting provider for your Ember apps?,How much is shared between your server-side and client-side app hosting?,Which SCM do you use?,What method do you rely on for search engine indexing?,"How many addons have you written (including private, unpublished libraries)?",How many addons have you published publicly?,Are your addons unit tested?,Are your addons acceptance tested?
2/4/2015 13:13:12,North America,> 24 months,10,10,Developer,All the time,"Employee working on product, Independent product developer",JavaScript,Atom,"Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,Backbone,20-50,1-10,More,"1.6, 1.9","Ember-Data, Custom Solution",,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt","ES6 transpilation, Browserify","Bower, npm, ember-cli (bower and npm), Browserify",Scala,,I don't get to design my API,,Ember-QUnit,"< 3 months, 12-18 months","Weekly, Haven’t shipped yet / Still developing","Desktop, Mobile, Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8",An app that is used by tens of users,"Self-hosted (dedicated infrastructure), Heroku",Shared data-center,Git,,1-3,0,Some,Some
2/4/2015 13:16:34,Europe,9-12 months,5,5,Developer,All the time,Employee working on product,"Ruby, Python, JavaScript, PHP",Sublime,"Opened an issue, Opened a PR, Maintain a library",Mac OSX,,10-20,1-10,The same amount,"1.9, 1.10","Ember-Data, Custom Solution",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Python,"Rails (Ruby), Laravel (PHP), Django (Python)",I don't get to design my API,None,Ember-QUnit,9-12 months,Weekly,"Desktop, Desktop & Mobile (fully responsive)","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,S3 (with or without CloudFront),Shared data-center,Git,,1-3,1-3,I'm not sure how to do this,None
2/4/2015 13:17:04,North America,3-6 months,6,4,Developer,Never,Independent product developer,"JavaScript, Go",Atom,Attended a meetup / conference,Mac OSX,Backbone,1-10,1-10,The same amount,1.1,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),,,"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,We don’t write tests,< 3 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Prototype only,,,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 13:17:18,North America,12-18 months,7,8,Developer,All the time,Independent consultant,JavaScript,WebStorm,"Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,,More than 100,1-10,More,1.9,Ember-Data,0.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",JavaScript,,"JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,"< 3 months, 12-18 months",Almost daily,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8",An app that is used by thousands of users,"VPS (cloud infrastructure), S3 (with or without CloudFront)",No shared infrastructure,Git,,1-3,1-3,Some,Some
2/4/2015 13:17:31,North America,6-9 months,5,4,Developer,Some times,Employee working on product,"Ruby, Python","Sublime, Atom","Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class, Run a meetup also :)",Mac OSX,jQuery Mobile,10-20,1-10,Fewer,"1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,3 -6 months,"Almost daily, Weekly",Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9",An app that is used by tens of users,Heroku,Shared hardware,Git,,1-3,1-3,Some,I'm not sure how to do this
2/4/2015 13:18:44,Asia,12-18 months,8,9,Developer,Some times,Independent product developer,"Ruby, Python, JavaScript, Elixir","Sublime, Vim, Atom",Written a blog post / article,Windows,"Angular, jQuery Mobile",1-10,1-10,More,Canary (master),Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","Ruby, Python, JavaScript, Elixir, Rust","Rails (Ruby), Laravel (PHP), Flask (Python), Express (Node), phoenix (elixir)",JSON-API,None,Ember-QUnit,6-9 months,Weekly,"Desktop, Legacy Desktop (Point-of-sale units, embedded devices), Mobile, Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk",Public Consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari",An app that is used by thousands of users,"VPS (cloud infrastructure), Self-hosted (dedicated infrastructure)",Shared hardware,Git,,0,0,None,None
2/4/2015 13:19:51,North America,9-12 months,3,4,Developer,All the time,"Employee working on product, Employee doing consulting/client work","PHP, .NET","Sublime, Visual Studio","Opened an issue, Attended a meetup / conference, Given a talk / lecture / class, organize a meetup","Linux/Unix, Windows",,1-10,1-10,More,1.8,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Grunt,GLOBALS BABY,"Bower, npm",.NET,ServiceStack (.NET),JSON-API,Swagger,We don’t write tests,9-12 months,Weekly,Desktop & Mobile (fully responsive),Consumers and internal users,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9",Prototype only,S3 (with or without CloudFront),No shared infrastructure,Git,,0,0,None,None
2/4/2015 13:21:44,Europe,3-6 months,9,3,Developer,Some times,"Independent product developer, Independent consultant",,Sublime,"Opened an issue, Attended a meetup / conference",Mac OSX,"Angular, Backbone, jQuery Mobile",1-10,1-10,More,1.9,Ember-Data,,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),,,JSON-API,,Ember-QUnit,< 3 months,"Almost daily, Weekly",Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8",An app that is used by millions of users,S3 (with or without CloudFront),,Git,,1-3,0,Some,Some
2/4/2015 13:25:07,Europe,9-12 months,8,7,Developer,All the time,Employee working on product,Java,Intellij,Opened an issue,Windows,,50-100,1-10,Fewer,1.8,Custom Solution,,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt",,"Bower, npm, ember-cli (bower and npm)",Java,Spring (Java),I don't get to design my API,,Selenium (Cucumber),9-12 months,Monthly,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions)",An app that is used by millions of users,Self-hosted (dedicated infrastructure),No shared infrastructure,Mercurial,,0,0,,
2/4/2015 13:26:39,Europe,9-12 months,8,6,Developer,Some times,Employee doing consulting/client work,Ruby,"Vim, Vim for Ember, RubyMine for Ruby","Opened an issue, Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,,1-10,1-10,More,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,"3 -6 months, 9-12 months","Monthly, Almost never, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,,0,0,None,None
2/4/2015 13:28:19,North America,Started on Sproutcore 2 (or before!),4,3,Developer,Never,Employee working on product,"Ruby, JavaScript, .NET",Sublime,"Opened a PR, Attended a meetup / conference","Mac OSX, Windows","Angular, Backbone, Sproutcore",10-20,,The same amount,1.8,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,"ES6 transpilation, Browserify","Bower, npm, ember-cli (bower and npm), Browserify",Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,< 3 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Internal users only,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9","Mobile browsers, Modern browsers (last two versions)",Prototype only,"VPS (cloud infrastructure), S3 (with or without CloudFront)",Shared data-center,Git,,0,0,None,None
2/4/2015 13:31:53,Europe,9-12 months,4,5,Developer,Never,"Employee working on product, Independent consultant",Ruby,Sublime,"Written a blog post / article, Given a talk / lecture / class",Mac OSX,,1-10,1-10,,"1.7, 1.9",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",I don't know,"ember-cli (bower and npm), Bundler",Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,6-9 months,"Less than once a month, Haven’t shipped yet / Still developing",Desktop,Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),Exploring the idea only,VPS (cloud infrastructure),Shared hardware,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 13:32:03,North America,3-6 months,6,3,Developer,Some times,Employee working on product,"Ruby, clojure",Vim,Attended a meetup / conference,Mac OSX,"jQuery Mobile, om",1-10,1-10,The same amount,1.9,Ember-Data,0.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,,ember-cli (bower and npm),"Ruby, Java",Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",None,Ember-QUnit,< 3 months,Monthly,Desktop & Mobile (fully responsive),Consumers and internal users,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8, IE 7","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,,0,0,,
2/4/2015 13:35:43,Europe,12-18 months,7,7,Developer,All the time,"Employee working on product, Independent product developer",JavaScript,Sublime,"Attended a meetup / conference, Given a talk / lecture / class","Mac OSX, Linux/Unix",,1-10,1-10,The same amount,"1.7, 1.10, 1.11 Beta","Ember-Data, Ember-Model, Ember Pouch, ic-ajax","1.0-beta.8-10, 1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember App Kit",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",JavaScript,"Express (Node), sails.js",JSON-API,,Ember-QUnit,"< 3 months, 9-12 months",Weekly,"Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk","Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,"VPS (cloud infrastructure), Self-hosted (dedicated infrastructure)",Shared data-center,Git,,1-3,0,Some,Some
2/4/2015 13:38:18,North America,3-6 months,10,4,Developer,All the time,Employee working on product,"JavaScript, .NET",WebStorm,"Attended a meetup / conference, Written a blog post / article","Mac OSX, Windows","Angular, Backbone",,1-10,More,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","JavaScript, .NET","MVC (.NET), .Net WebAPI, Node HapiJS",JSON-API,None,"Ember-QUnit, yadda",3 -6 months,Less than once a month,Desktop & Mobile (fully responsive),"Business to business consumers, Consumers and internal users","Modern browsers (last two versions), IE 9",Modern browsers (last two versions),An app that is used by thousands of users,,Shared data-center,Git,,0,0,None,None
2/4/2015 13:38:37,Europe,6-9 months,5,5,Developer,Some times,Employee working on product,"JavaScript, Java",Atom,"Opened an issue, Attended a meetup / conference, Given a talk / lecture / class","Mac OSX, Windows",Angular,20-50,1-10,Fewer,"1.8, 1.11 Beta",Ember-Data,"1.0-beta.8-10, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember App Kit",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","JavaScript, Java",Express (Node),JSON-API,None,We don’t write tests,"< 3 months, 3 -6 months",Monthly,"Desktop, Legacy Desktop (Point-of-sale units, embedded devices)",Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used on a corporate intranet,"Self-hosted (dedicated infrastructure), Heroku, Firebase",Shared hardware,Git,,0,0,None,None
2/4/2015 13:38:55,North America,< 3 months,4,3,Developer,Some times,"Employee doing consulting/client work, Independent consultant",Ruby,"Sublime, Vim",None of these,Linux/Unix,jQuery Mobile,1-10,1-10,More,1,Ember-Data,"0.14, 1.0-beta.1-3",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)",JSON-API,None,We don’t write tests,< 3 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, IE 9, IE 8",Mobile browsers,Exploring the idea only,Heroku,No shared infrastructure,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 13:40:45,North America,3-6 months,5,3,Developer,Never,Employee doing consulting/client work,"Ruby, .NET","Atom, Visual Studio","Opened an issue, Opened a PR","Mac OSX, Windows",jQuery Mobile,More than 100,None,,"1.8, 1.9",Ember-Data,"1.0-beta.11, 1.0-beta.12, 1.0-beta.13",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),,None,Ember-QUnit,< 3 months,Monthly,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Prototype only,Divshot,No shared infrastructure,Git,,1-3,1-3,Some,I'm not sure how to do this
2/4/2015 13:42:12,Europe,6-9 months,6,5,CTO,Some times,Employee working on product,"JavaScript, .NET","Sublime, Visual Studio, brackets",None of these,"Mac OSX, Windows","Angular, jQuery Mobile",1-10,1-10,The same amount,Canary (master),"Ember-Data, ic-ajax",1.0-beta.13,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),.NET,"MVC (.NET), Nancy FX",JSON-API,None,Ember-QUnit,6-9 months,Haven’t shipped yet / Still developing,"Desktop, Mobile","Public Consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",Prototype only,Self-hosted (dedicated infrastructure),Shared hardware,Git,,0,0,None,None
2/4/2015 13:42:20,Europe,12-18 months,5,6,CTO,Some times,"Independent product developer, Independent consultant",Ruby,"Vim, Atom","Maintain a library, Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,Backbone,1-10,1-10,More,"1.8, 1.9","Ember-Data, ic-ajax","1.0-beta.11, 1.0-beta.12, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline, Ember-rails (pre-cli)",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,"Rails (Ruby), Sinatra (Ruby), Express (Node)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,< 3 months,Almost daily,Desktop,Public Consumers,"Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari",An app that is used by thousands of users,"VPS (cloud infrastructure), S3 (with or without CloudFront), Heroku",No shared infrastructure,Git,,1-3,1-3,None,None
2/4/2015 13:47:54,Europe,3-6 months,7,3,Developer,Never,Independent product developer,"Ruby, JavaScript","Sublime, WebStorm",Attended a meetup / conference,Mac OSX,Backbone,1-10,None,Fewer,"1.0, 1.10",Ember-Data,"0.13, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt",Neuter ,ember-cli (bower and npm),"Ruby, JavaScript",Rails (Ruby),JSON-API,None,Jasmine,"9-12 months, 12-18 months",Almost never,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers, Internal users only","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,,0,0,,
